İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,goalsPrevented,kilometersCovered,numberOfSprints,topSpeed
"Shon Weissman","790817","LaLiga 2 25/26","LaLiga 2","Granada","6.5","6.5","1","0","0","0","0","0","0","8","1","9","88.888888888889","4","4","2","0","0","0","3","0","0","0","0","0","0","1","0","1","4","57.142857142857","1","16.666666666667","5","38.461538461538","91","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","100","0","0","0","1","3","0","1","1","20","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","1","0","8","5","0","0","0","1","3","2","66.666666666667","0","0","0","0","5","4","0","0","0","3","0","2140963","2","0","0","0","0"
"Shon Weissman","790817","LaLiga 2 24/25","LaLiga 2","Granada","6.6703703703704","180.1","27","2","2","4","2","0","4","128","53","181","70.718232044199","41","89","50","14","7","46.666666666667","7","5","2","0","0","2","50","22","10","9","28","45.901639344262","13","25","41","36.283185840708","1061","9.0909090909091","1","0","0","0","0","0","2","0","19","3","0","1","1","5","55.555555555556","4","0","0","7","98","5","7","2","323","14","9","0","0","10","1","3","0","0","2","0","0","0","0","11","3","0","0","0","0","0","11","0","0","14","15","4","72","39","0","0","1","9","14","3","42.857142857143","530.5","0","0","0","51","134","0","0","0","26","0","1505937","28","0","0","0","0"
"Shon Weissman","790817","Serie A 23/24","Serie A","Salernitana","6.6363636363636","73","11","1","0","0","0","0.09936488","1","48","18","66","72.727272727273","19","29","15","2","0","0","4","3","0","0","0","0","0","6","1","4","14","51.851851851852","6","28.571428571429","20","41.666666666667","493","16.666666666667","0","0","0","0","0","0","1","0","6","0","1","0","0","4","80","4","0","0","5","34","1","6","3","129","10","3","0","0","4","0","1","0","0","0","0","0","0","0","12","2","0","0","0","0","0","5","0","0","2","1","0","28","15","0","0","0","5","14","3","75","493","0","0","0","25","41","0","1.0239","0","13","0","1296757","11","0","0","0","0"
"Shon Weissman","790817","LaLiga 23/24","LaLiga","Granada","6.52","32.6","5","0","0","0","0","0.02736106","0","9","3","12","75","4","6","2","0","1","50","1","0","0","0","0","1","100","1","0","1","3","37.5","1","16.666666666667","4","28.571428571429","90","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","7","1","0","0","29","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","10","5","0","0","0","0","0","1","100","0","0","0","0","5","8","0","0.039","0","2","0","1183977","5","0","0","0","0"
"Ronivaldo","314304","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.6304347826087","152.5","23","6","1","3","0","0.96464736","6","159","119","278","57.194244604317","41","118","65","11","0","0","4","1","2","0","0","1","50","31","13","14","16","34.042553191489","45","44.117647058824","61","40.939597315436","1010","19.354838709677","1","1","0","0","0","0","6","0","24","7","2","2","2","7","43.75","23","0","0","10","168","3","16","7","445","13","17","0","0","1","6","4","0","0","0","0","0","0","0","17","2","0","0","0","0","0","11","100","0","11","6","2","88","57","0","0","0","16","19","4","100","168.33333333333","0","0","0","63","215","1","5.2373","0","29","0","2097997","23","0","0","0","0"
"Ronivaldo","314304","Bundesliga 24/25","Austrian Bundesliga","FC Blau Weiss Linz","7.1548387096774","221.8","31","14","3","8","1","0","15","414","222","636","65.094339622642","167","249","131","16","11","45.833333333333","22","12","6","0","0","2","66.666666666667","86","33","39","69","45.394736842105","99","45","168","45.161290322581","2408","16.279069767442","1","1","0","1","2","1","11","3","66","20","2","0","12","16","43.243243243243","48","0","0","24","344","13","29","13","1043","39","39","3","1","18","25","14","0","0","0","0","0","0","0","31","1","0","0","0","0","0","29","100","50","16","24","3","204","121","0","0","0","37","32","11","50","172","0","0","0","202","437","3","0","0","70","0","1484728","31","0","0","0","0"
"Ronivaldo","314304","Bundesliga 23/24","Austrian Bundesliga","FC Blau Weiss Linz","7.1413793103448","207.1","29","10","6","8","3","0","13","348","197","545","63.853211009174","100","251","135","22","19","52.777777777778","19","8","4","0","0","3","23.076923076923","65","26","29","81","46.820809248555","93","45.365853658537","174","46.031746031746","2117","15.384615384615","3","3","1","1","1","0","9","1","48","17","3","1","6","17","48.571428571429","43","0","0","26","314","14","37","19","921","43","43","1","0","11","19","10","0","0","1","0","0","0","0","33","2","0","0","0","0","0","27","100","0","22","36","13","204","112","0","0","0","35","35","11","57.894736842105","211.7","0","0","0","136","422","3","0","0","66","0","1052211","29","0","0","0","0"
"Paul Mensah","944221","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.4","64","10","0","0","2","1","0.11703516","1","58","26","84","69.047619047619","20","38","22","2","4","40","8","2","1","0","0","1","16.666666666667","11","2","6","18","46.153846153846","8","36.363636363636","26","42.622950819672","374","0","0","0","1","0","0","0","0","0","10","1","0","0","0","0","0","2","0","0","10","73","2","4","1","181","6","5","0","0","0","2","3","0","0","0","0","0","0","0","5","2","0","0","0","0","0","3","0","0","2","10","6","35","14","0","0","0","4","7","7","87.5","0","0","0","0","26","58","0","1.2372","0","12","0","2113518","10","0","0","0","0"
"Paul Mensah","944221","Bundesliga 24/25","Austrian Bundesliga","FC Blau Weiss Linz","6.6636363636364","73.3","11","0","0","1","0","0","0","95","30","125","76","32","65","36","4","14","53.846153846154","6","4","3","1","1","2","20","10","2","2","32","43.835616438356","6","28.571428571429","38","40.425531914894","472","0","0","0","0","0","0","0","0","0","7","3","0","0","0","4","66.666666666667","3","0","0","15","90","4","7","2","260","12","10","0","0","5","2","6","0","0","0","0","0","0","0","4","2","0","0","0","0","0","4","0","0","4","26","10","56","15","0","0","0","6","6","5","83.333333333333","0","0","0","0","43","92","0","0","0","32","0","1511160","11","0","0","0","0"
"Paul Mensah","944221","Bundesliga 23/24","Austrian Bundesliga","FC Blau Weiss Linz","6.8258064516129","211.6","31","2","2","3","2","0","4","474","161","635","74.645669291339","178","297","158","22","48","60","30","10","6","0","0","1","5","29","14","10","132","49.07063197026","20","28.571428571429","152","44.837758112094","2297","6.8965517241379","0","0","1","0","0","0","1","1","20","9","0","0","2","13","30.232558139535","13","0","0","60","356","12","28","9","1104","54","26","0","0","22","5","5","0","0","7","0","0","0","0","35","3","0","0","0","0","0","26","0","0","22","80","20","187","50","0","0","0","43","38","17","56.666666666667","1148.5","0","0","0","228","427","0","0","0","151","0","1052253","31","0","0","0","0"
"Simon Seidl","1131565","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.9454545454545","152.8","22","6","4","1","4","3.107629","10","515","176","691","74.529667149059","209","306","193","27","20","35.714285714286","30","10","1","0","0","18","29.508196721311","40","17","8","76","40.21164021164","12","25","88","37.130801687764","1823","15","0","0","1","0","5","0","5","1","18","22","0","1","5","13","44.827586206897","14","0","0","38","389","11","39","15","1249","26","27","0","0","16","5","15","0","0","1","0","0","0","0","29","7","0","0","0","0","0","21","0","0","27","56","61","149","36","0","0","0","29","36","19","63.333333333333","303.83333333333","0","0","0","241","450","3","3.4311","0","85","3","2097975","22","0","0","0","0"
"Simon Seidl","1131565","Bundesliga 24/25","Austrian Bundesliga","FC Blau Weiss Linz","6.8451612903226","212.2","31","4","6","8","3","0","7","454","146","600","75.666666666667","175","280","165","20","24","48","41","7","3","0","0","1","6.6666666666667","33","13","12","91","44.607843137255","14","18.666666666667","105","37.634408602151","1874","12.121212121212","0","0","1","0","0","0","4","0","24","9","0","2","2","14","48.275862068966","18","0","0","43","319","8","27","15","1047","26","32","3","0","15","7","8","0","0","2","0","0","0","0","25","2","0","0","0","0","0","26","0","0","20","50","15","174","61","0","0","0","29","27","26","63.414634146341","468.5","0","0","0","212","403","1","0","0","104","0","1484730","31","0","0","0","0"
"Simon Seidl","1131565","Bundesliga 23/24","Austrian Bundesliga","FC Blau Weiss Linz","6.8954545454545","151.7","22","4","3","2","1","0","5","401","101","502","79.880478087649","158","247","143","19","23","54.761904761905","15","4","2","0","0","4","28.571428571429","29","8","11","53","43.44262295082","11","20.37037037037","64","36.363636363636","1384","13.793103448276","0","0","0","0","1","0","4","0","20","9","1","0","3","11","61.111111111111","9","0","0","22","219","8","22","12","807","16","17","0","0","12","4","10","0","0","1","0","0","0","0","16","1","0","0","0","0","0","17","0","0","19","42","14","112","43","0","0","0","18","17","11","73.333333333333","346","0","0","0","179","337","1","0","0","93","0","1196034","22","0","0","0","0"
"Thomas Goiginger","164221","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.6722222222222","120.1","18","1","3","1","2","1.9467445","3","242","68","310","78.064516129032","58","184","121","20","11","45.833333333333","10","3","4","0","0","16","28.070175438596","17","3","6","32","38.095238095238","7","22.58064516129","39","33.913043478261","1168","5.8823529411765","0","0","1","0","0","0","1","0","9","8","0","1","0","13","54.166666666667","4","0","0","18","181","6","29","16","534","11","15","0","0","8","6","8","0","0","2","0","0","0","0","15","2","0","0","0","0","0","15","0","0","20","24","57","76","24","0","0","0","24","17","8","80","1168","0","0","0","70","240","0","1.8079","0","29","0","2097993","18","0","0","0","0"
"Thomas Goiginger","164221","Bundesliga 24/25","Austrian Bundesliga","FC Blau Weiss Linz","6.98","174.5","25","2","10","1","4","0","6","330","110","440","75","74","287","189","38","35","52.238805970149","20","3","3","0","0","31","35.227272727273","27","12","7","70","42.682926829268","11","22.916666666667","81","38.207547169811","1839","7.4074074074074","0","0","0","1","3","0","2","0","12","15","0","0","2","17","42.5","7","0","0","29","276","11","35","11","802","15","16","1","0","17","7","8","0","0","3","0","0","0","0","27","2","0","0","0","0","0","23","0","0","38","67","88","131","37","0","0","0","40","29","15","75","919.5","0","0","0","88","440","3","0","0","67","0","1484694","25","0","0","0","0"
"Thomas Goiginger","164221","Bundesliga 23/24","Austrian Bundesliga","LASK","6.95","83.4","12","2","1","0","2","0","4","86","39","125","68.8","22","70","44","6","8","53.333333333333","10","2","0","0","0","6","23.076923076923","11","6","2","27","51.923076923077","1","14.285714285714","28","47.457627118644","400","18.181818181818","1","1","0","0","0","0","2","0","9","2","0","0","2","0","0","2","0","0","7","91","3","6","1","245","9","4","0","0","7","4","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","3","100","0","6","15","26","31","6","0","0","0","9","1","7","70","200","0","0","0","31","120","1","0","0","21","0","1051237","12","0","0","0","0"
"Thomas Goiginger","164221","UEFA Europa League 23/24","UEFA Europa League","LASK","6.35","12.7","2","0","0","0","0","0.00178849","0","4","8","12","33.333333333333","1","3","2","0","0","0","2","0","0","0","0","0","0","0","0","0","4","40","0","0","4","28.571428571429","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","15","1","0","0","25","2","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","1","10","4","0","0","0","0","3","1","50","0","0","0","0","2","11","0","0","0","1","0","1200385","2","0","0","0","0"
"Thomas Goiginger","164221","2nd Bundesliga 23/24","2. Bundesliga","VfL Osnabrück","6.6142857142857","46.3","7","0","2","0","0","0","0","40","13","53","75.471698113208","11","32","20","5","6","40","6","2","1","0","0","3","42.857142857143","4","0","1","12","40","2","66.666666666667","14","42.424242424242","194","0","0","0","0","0","1","0","0","0","2","2","0","0","0","1","25","0","0","0","4","31","2","4","0","100","0","2","0","0","3","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","5","15","7","19","1","0","0","0","4","4","3","50","0","0","0","0","12","48","0","0","0","8","0","1289460","9","0","0","0","0"
"Jakob Knollmuller","1385218","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.4714285714286","45.3","7","0","1","1","0","0.10981572","0","33","15","48","68.75","14","19","13","3","2","66.666666666667","1","0","0","0","0","0","0","7","6","0","4","36.363636363636","7","35","11","35.483870967742","225","0","0","0","0","0","0","0","0","0","6","1","0","0","0","2","50","1","0","0","5","33","2","2","1","84","1","1","0","0","0","2","1","0","0","0","0","0","0","0","3","1","0","0","0","0","0","1","0","0","3","3","2","20","13","0","0","0","4","4","0","0","0","0","0","0","15","33","0","0.8454","0","5","0","2097961","7","0","0","0","0"
"João Luiz","1049101","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.6666666666667","40","6","0","0","0","0","0.14511677","0","36","7","43","83.720930232558","18","18","10","1","7","63.636363636364","3","0","1","0","0","2","50","3","0","1","13","56.521739130435","1","50","14","56","133","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","2","20","1","1","1","87","3","2","0","0","2","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","11","4","11","1","0","0","0","2","1","3","100","0","0","0","0","19","24","0","0.1017","0","4","0","2097951","6","0","0","0","0"
"João Luiz","1049101","Bundesliga 24/25","Austrian Bundesliga","FC Blau Weiss Linz","6","6","1","0","0","0","0","0","0","4","8","12","33.333333333333","2","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10","0","1","0","16","0","0","0","0","4","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","3","1","0","0","0","0","0","0","6","6","0","0","0","1","0","1998280","1","0","0","0","0"
"João Luiz","1049101","Bundesliga 23/24","Austrian Bundesliga","FC Blau Weiss Linz","6.675","26.7","4","0","0","0","0","0","0","47","27","74","63.513513513514","24","24","11","2","10","62.5","9","1","0","0","0","1","12.5","2","0","2","20","52.631578947368","2","22.222222222222","22","46.808510638298","223","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","2","48","1","5","1","151","1","1","0","0","9","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","2","0","0","2","16","8","25","7","0","0","0","11","5","7","77.777777777778","0","0","0","0","33","49","0","0","0","15","0","1302069","4","0","0","0","0"
"Cheick Oumar Condé","1019971","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.6","33","5","0","0","0","0","0.01875883","0","43","21","64","67.1875","23","20","6","0","2","40","2","4","1","0","0","0","0","1","0","0","7","38.888888888889","9","69.230769230769","16","51.612903225806","209","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","27.272727272727","7","0","0","1","34","0","6","1","104","3","4","0","0","3","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","3","0","0","0","5","1","15","4","0","0","0","11","5","2","100","0","0","0","0","27","37","0","0.1169","0","9","1","2663903","5","0","0","0","0"
"Cheick Oumar Condé","1019971","Serie A 24/25","Serie A","Venezia","6.6571428571429","46.6","7","0","0","0","0","0.05187167","0","34","17","51","66.666666666667","9","25","14","1","2","50","6","4","2","0","0","0","0","1","0","0","12","44.444444444444","7","70","19","51.351351351351","166","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","5","26","2","3","1","96","4","5","0","0","3","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","4","0","18","3","0","0","0","1","2","5","83.333333333333","0","0","0","0","11","40","0","0.0132","0","13","0","1773437","9","0","0","0","0"
"Cheick Oumar Condé","1019971","Super League 24/25","Swiss Super League","FC Zürich","6.9857142857143","97.8","14","0","1","0","1","0","1","351","108","459","76.470588235294","156","195","81","5","11","61.111111111111","46","17","4","0","0","0","0","11","1","7","70","61.40350877193","17","58.620689655172","87","60.839160839161","997","0","0","0","0","0","0","0","0","0","2","9","0","0","0","26","44.067796610169","21","0","0","14","142","3","42","18","662","15","9","0","0","14","0","3","0","0","3","0","0","0","0","11","4","0","0","0","0","0","11","0","0","5","18","1","56","12","0","0","0","59","15","29","63.04347826087","0","0","0","0","180","280","1","0","0","102","0","1459376","14","0","0","0","0"
"Cheick Oumar Condé","1019971","Super League 23/24","Swiss Super League","FC Zürich","6.9878787878788","230.6","33","1","1","1","3","0","4","1006","294","1300","77.384615384615","506","503","211","13","35","77.777777777778","104","55","7","1","2","3","37.5","32","8","17","170","54.838709677419","68","58.119658119658","238","55.737704918033","2753","3.125","0","0","0","1","0","0","1","0","13","19","0","0","1","97","48.258706467662","23","0","0","42","405","12","137","68","1819","34","55","0","0","37","0","7","0","0","7","0","0","0","0","30","5","0","0","0","0","0","32","0","0","13","45","8","189","49","0","0","0","201","35","72","69.230769230769","2753","1","0","0","584","724","3","0","0","283","0","1047970","33","0","0","0","0"
"Mamadou Fofana","1006490","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.7526315789474","128.3","19","1","2","1","1","1.1855573","2","260","95","355","73.239436619718","98","162","84","7","11","44","31","16","0","0","0","1","16.666666666667","12","4","5","52","45.217391304348","10","71.428571428571","62","48.062015503876","845","8.3333333333333","0","0","0","1","0","0","1","0","8","4","0","0","1","21","45.652173913043","7","0","0","18","154","7","28","17","561","10","20","0","0","11","0","3","0","0","1","0","0","0","0","16","2","0","0","0","0","0","7","0","0","7","25","6","67","4","0","0","0","46","18","19","61.290322580645","845","0","0","0","131","224","1","0.9351","0","61","3","2190650","20","0","0","0","0"
"Isak Dahlqvist","1031422","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.66","33.3","5","0","0","0","0","0.9293085","0","102","42","144","70.833333333333","44","58","33","5","3","42.857142857143","11","11","1","0","0","4","28.571428571429","4","1","3","19","55.882352941176","1","12.5","20","47.619047619048","440","0","0","0","0","0","0","0","0","0","2","2","0","0","0","6","27.272727272727","6","0","0","4","73","1","15","7","247","5","3","0","0","4","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","5","0","0","5","7","14","22","7","0","0","0","22","8","6","54.545454545455","0","0","0","0","56","88","0","0.1688","0","23","2","2663905","5","0","0","0","0"
"Anderson","980464","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.2166666666667","37.3","6","0","1","0","2","0.18943723","2","72","48","120","60","32","40","15","3","3","60","11","4","1","1","1","3","15.789473684211","4","0","2","16","45.714285714286","8","57.142857142857","24","48.979591836735","442","0","0","0","0","0","0","0","0","0","4","0","0","0","0","6","24","11","0","0","6","81","1","12","7","218","2","5","0","0","6","1","2","0","0","1","0","0","0","0","7","1","0","0","0","0","0","6","0","0","3","5","19","25","6","0","0","0","25","8","6","54.545454545455","0","0","0","0","46","74","0","0.2791","0","17","1","2097965","6","0","0","0","0"
"Anderson","980464","Bundesliga 24/25","Austrian Bundesliga","FC Blau Weiss Linz","6.9935483870968","216.8","31","2","5","5","5","0","7","458","290","748","61.229946524064","212","274","127","36","18","40.909090909091","82","36","3","0","0","28","28.865979381443","36","13","13","112","54.634146341463","45","54.878048780488","157","54.703832752613","2501","5.5555555555556","0","0","0","0","0","0","2","0","28","8","2","0","0","50","31.25","56","0","0","17","480","11","70","25","1540","12","26","1","0","26","6","10","0","0","6","0","0","0","0","36","2","0","0","0","0","0","30","0","0","36","44","97","130","37","0","0","0","160","38","48","58.536585365854","1250.5","0","0","0","290","555","1","0","0","110","0","1484706","31","0","0","0","0"
"Anderson","980464","Bundesliga 23/24","Austrian Bundesliga","SC Austria Lustenau","6.8814814814815","185.8","27","1","4","1","2","0","3","372","241","613","60.68515497553","211","170","80","19","16","57.142857142857","63","46","3","1","1","9","22.5","15","3","7","95","56.213017751479","54","62.790697674419","149","58.43137254902","2034","6.6666666666667","0","0","0","1","0","0","1","0","10","5","1","0","0","72","42.352941176471","49","0","0","11","375","3","85","43","1140","16","31","0","1","23","1","5","0","0","2","0","0","0","0","38","6","0","0","0","0","0","25","0","0","19","28","40","106","32","0","0","0","170","44","37","58.730158730159","2034","0","0","0","303","350","1","0","1","104","0","1052297","27","0","0","0","0"
"Nico Maier","966661","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.5285714285714","91.4","14","1","0","2","0","0.44071445","1","180","68","248","72.58064516129","52","128","81","7","11","42.307692307692","23","9","1","0","0","2","18.181818181818","16","2","9","43","41.346153846154","9","33.333333333333","52","39.69465648855","829","6.25","0","0","0","1","0","0","1","0","8","8","0","0","1","9","69.230769230769","5","0","1","18","136","6","11","3","430","10","18","1","0","10","2","5","0","0","0","0","0","0","0","16","4","0","0","0","0","0","9","0","0","7","26","11","79","18","0","0","0","13","20","16","69.565217391304","829","0","0","0","62","186","0","1.5602","0","47","0","2097985","14","0","0","0","0"
"Alexander Briedl","1105690","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.8333333333333","143.5","21","1","0","1","1","1.7983938","2","468","152","620","75.483870967742","202","266","159","23","11","45.833333333333","40","16","2","0","0","21","38.888888888889","19","3","5","73","60.330578512397","25","50","98","57.309941520468","1587","5.2631578947368","0","0","0","0","0","0","0","1","7","12","0","1","0","29","42.647058823529","20","0","0","12","245","8","60","25","947","24","14","0","0","12","0","11","1","0","1","0","0","0","0","26","7","0","0","0","0","0","18","0","0","22","24","54","73","25","0","0","0","68","33","22","55","1587","0","0","0","241","379","1","1.5078","0","82","6","2163836","21","0","0","0","0"
"Alexander Briedl","1105690","Bundesliga 24/25","Austrian Bundesliga","FC Blau Weiss Linz","6.9625","167.1","24","1","5","1","1","0","2","454","165","619","73.344103392569","199","282","133","25","9","42.857142857143","62","23","6","0","0","27","41.538461538462","15","6","3","97","52.717391304348","29","61.702127659574","126","54.545454545455","2012","6.6666666666667","0","0","0","0","4","0","0","1","2","13","0","1","0","17","21.518987341772","38","0","1","16","279","3","39","14","1059","28","35","0","0","26","2","6","0","0","7","0","0","0","0","26","2","0","0","0","0","0","23","0","0","25","21","65","105","18","0","0","0","79","28","43","69.354838709677","2012","0","0","0","242","442","1","0","0","103","0","1484724","24","0","0","0","0"
"Alexander Briedl","1105690","Bundesliga 23/24","Austrian Bundesliga","FC Blau Weiss Linz","6.815","136.3","20","1","0","0","1","0","2","348","103","451","77.161862527716","139","221","128","18","11","37.931034482759","31","12","3","0","0","12","26.666666666667","12","4","5","57","53.77358490566","13","27.659574468085","70","45.751633986928","1300","8.3333333333333","0","0","0","0","1","0","1","0","5","7","0","1","0","20","40.816326530612","30","0","0","9","193","7","36","16","756","15","11","0","0","13","1","3","0","0","4","0","0","0","0","17","1","0","0","0","0","0","13","0","0","18","29","45","83","34","0","0","0","49","18","18","58.064516129032","1300","0","0","0","166","330","0","0","0","67","0","1180244","22","0","0","0","0"
"Christopher Cvetko","843777","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.6888888888889","120.4","18","1","0","0","0","0.4202705","1","263","112","375","70.133333333333","139","124","63","5","1","100","25","17","3","0","0","3","37.5","14","3","8","33","56.896551724138","22","55","55","56.122448979592","1077","7.1428571428571","0","0","0","0","3","0","0","1","2","12","0","1","0","20","34.48275862069","23","0","0","3","133","1","37","20","515","8","20","0","0","3","0","3","0","0","1","0","0","0","0","16","2","0","0","0","0","0","14","0","0","5","1","8","43","18","0","0","0","58","18","14","56","1077","0","0","0","167","208","1","0.6919","0","45","1","2097979","18","0","0","0","0"
"Christopher Cvetko","843777","Bundesliga 24/25","Austrian Bundesliga","Austria Klagenfurt","6.85","191.8","28","2","4","3","4","0","6","607","182","789","76.932826362484","268","361","174","25","8","57.142857142857","44","23","11","0","0","22","24.175824175824","36","14","14","66","48.529411764706","16","41.025641025641","82","46.857142857143","2274","5.5555555555556","1","0","0","0","5","0","2","0","18","18","1","1","0","55","49.107142857143","33","0","0","14","302","4","71","34","1179","15","39","1","0","15","0","8","0","0","2","0","0","0","0","56","4","0","0","0","0","0","27","0","0","25","14","91","93","23","0","0","1","112","60","31","70.454545454545","1137","0","0","0","313","567","0","0","0","95","0","1482986","28","0","0","0","0"
"Christopher Cvetko","843777","Bundesliga 23/24","Austrian Bundesliga","Austria Klagenfurt","6.9125","165.9","24","2","1","1","1","0","3","528","199","727","72.627235213205","232","321","150","23","8","53.333333333333","35","18","6","0","0","25","33.783783783784","25","6","12","54","43.548387096774","24","64.864864864865","78","48.447204968944","1917","8","0","0","0","0","4","1","1","1","7","18","0","2","0","49","44.144144144144","22","0","0","8","285","15","80","35","1024","13","36","1","0","19","0","7","0","0","4","0","0","0","0","31","0","0","0","0","0","0","23","0","25","23","15","74","83","13","0","0","0","111","31","21","60","958.5","0","0","0","262","539","1","0","0","107","0","1052341","24","0","0","0","0"
"David Bumberger","921159","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.7454545454545","74.2","11","1","2","1","2","1.86834436","3","151","72","223","67.713004484305","57","94","67","11","7","43.75","8","6","2","0","0","8","34.782608695652","14","5","7","20","41.666666666667","15","51.724137931034","35","45.454545454545","606","7.1428571428571","0","0","0","0","0","0","1","0","12","2","0","1","0","4","28.571428571429","20","0","0","7","117","0","15","7","387","5","8","1","0","4","0","2","0","0","0","0","0","0","0","8","4","0","0","0","0","0","7","0","0","11","16","23","42","14","0","0","0","14","12","4","50","606","0","0","0","72","151","1","1.0893","0","23","1","2480409","11","0","0","0","0"
"Dominik Reiter","857918","Bundesliga 25/26","Austrian Bundesliga","FC Blau Weiss Linz","6.75","67.5","10","0","1","1","0","0.87942558","0","114","76","190","60","45","69","40","7","9","50","15","4","3","0","0","7","28","11","2","6","39","56.521739130435","10","66.666666666667","49","58.333333333333","668","0","0","0","0","0","1","0","0","0","5","6","0","0","0","7","25","14","0","0","5","120","2","17","7","340","15","7","0","0","10","0","3","0","0","1","0","0","0","0","8","1","0","0","0","0","0","8","0","0","7","18","25","35","5","0","0","0","28","9","6","40","0","0","0","0","64","126","0","0.514","0","31","0","2316848","10","0","0","0","0"
