İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,kilometersCovered,numberOfSprints,topSpeed,goalsPrevented,substitutionsIn,substitutionsOut
"Pantelis Hatzidiakos","822163","Superliga 24/25","Danish Superliga","FC København","7.0916666666667","170.2","24","1","0","1","2","0","3","1693","174","1867","90.680235672201","1058","636","168","7","3","75","38","19","7","0","0","1","100","5","1","4","49","65.333333333333","33","62.264150943396","82","64.0625","2153","20","0","0","0","1","0","0","1","0","4","1","1","0","0","91","50.276243093923","117","0","0","1","190","1","111","59","2124","8","20","0","0","5","2","0","0","0","8","0","0","0","0","25","0","0","0","0","0","0","24","0","0","7","4","1","46","20","0","0","0","181","25","24","63.157894736842","2153","0","0","0","1109","759","1","0","11","82","0","1586098","24","0","0","0","0","0","0"
"Pantelis Hatzidiakos","822163","UEFA Champions League 25/26","UEFA Champions League","FC København","6.4714285714286","45.3","7","0","0","0","0","0.05540103","0","217","43","260","83.461538461538","154","63","20","1","0","0","3","5","2","0","0","0","0","0","0","0","7","33.333333333333","9","56.25","16","43.243243243243","558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","45.238095238095","25","0","0","2","49","0","29","14","333","5","8","0","1","4","1","0","0","0","0","0","0","0","0","12","4","0","0","0","0","0","6","0","0","1","0","1","21","7","0","0","0","42","16","1","33.333333333333","0","0","0","0","175","85","0","0","11","15","9","2283293","7","62.76807","54","30.456","0","0","0"
"Pantelis Hatzidiakos","822163","Serie A 23/24","Serie A","Cagliari","6.5769230769231","85.5","13","0","0","1","0","0.15688641","0","315","60","375","84","194","122","48","1","1","33.333333333333","22","13","1","0","0","1","16.666666666667","4","2","1","27","58.695652173913","5","35.714285714286","32","53.333333333333","863","0","0","0","0","0","0","0","0","0","3","1","0","0","0","27","47.368421052632","30","1","0","3","88","1","35","21","518","4","7","0","0","7","0","1","0","0","0","0","0","0","0","17","2","0","0","0","0","0","13","0","0","1","3","6","28","9","0","0","0","57","19","10","45.454545454545","0","0","0","0","217","164","0","0.3784","1","50","0","1131008","13","0","0","0","0","0","0"
"Pantelis Hatzidiakos","822163","Eredivisie 23/24","VriendenLoterij Eredivisie","AZ Alkmaar","6.85","13.7","2","0","1","0","0","0.3351245","0","129","16","145","88.965517241379","88","42","11","2","0","0","2","1","1","0","0","1","25","2","0","1","2","33.333333333333","2","50","4","40","180","0","0","0","0","0","0","0","0","0","2","0","0","0","0","10","50","6","0","0","2","21","0","15","7","164","0","2","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","0","0","2","0","4","6","2","0","0","0","20","2","1","50","0","0","0","0","92","57","0","0.0756","0","0","0","1075741","2","0","0","0","0","0","0"
"Gabriel Pereira","992652","Superliga 25/26","Danish Superliga","FC København","7.0782608695652","162.8","23","1","3","1","0","2.66468288","1","1571","213","1784","88.060538116592","836","735","257","18","2","40","41","53","3","0","0","6","50","17","3","10","56","57.731958762887","41","53.246753246753","97","55.747126436782","2000","5.8823529411765","0","0","0","0","0","0","1","0","14","3","0","1","0","131","55.982905982906","95","0","1","5","252","7","155","79","2130","13","18","0","0","16","1","4","1","0","4","0","0","0","0","31","3","0","0","0","0","0","23","0","0","17","5","12","77","36","0","0","0","234","34","26","63.414634146341","2000","0","0","0","883","901","1","1.0518","2","148","9","2062646","23","0","0","0","0","0","0"
"Gabriel Pereira","992652","Superliga 24/25","Danish Superliga","FC København","7.1346153846154","185.5","26","3","2","1","1","0","4","1579","209","1788","88.31096196868","989","592","184","8","2","33.333333333333","29","32","5","0","0","2","33.333333333333","15","5","9","44","63.768115942029","42","62.686567164179","86","63.235294117647","2149","20","0","0","0","0","0","0","3","0","13","2","3","0","0","139","54.296875","116","1","0","2","232","5","159","90","2066","13","12","0","0","8","1","1","0","0","6","0","0","0","0","27","1","0","0","0","0","0","25","0","0","8","6","6","50","25","0","0","0","256","28","16","55.172413793103","716.33333333333","0","0","0","1036","758","4","0","9","87","0","1515856","26","0","0","0","0","0","0"
"Gabriel Pereira","992652","UEFA Champions League 25/26","UEFA Champions League","FC København","6.2","49.6","8","0","0","1","0","0.0836632","0","263","55","318","82.704402515723","170","93","38","1","2","100","6","13","2","0","0","0","0","5","0","4","9","33.333333333333","11","55","20","42.553191489362","702","0","0","0","0","0","0","0","0","0","4","1","0","0","0","30","58.823529411765","41","0","0","2","66","2","32","21","422","1","4","1","0","12","1","1","0","0","0","0","0","0","0","15","6","0","0","0","0","0","8","0","0","1","2","3","27","9","0","0","0","51","21","3","50","0","0","0","0","189","129","0","0.3014","1","37","6","2283303","8","81.95661","58","31.608","0","0","0"
"Gabriel Pereira","992652","Liga Portugal 23/24","Liga Portugal Betclic","Gil Vicente","7.0387096774194","218.2","31","4","1","0","0","0.65365769","4","1577","263","1840","85.70652173913","1256","323","89","4","5","62.5","34","26","8","1","1","2","33.333333333333","25","9","13","65","52","64","60.952380952381","129","56.086956521739","2779","16","0","0","2","0","0","0","4","0","21","4","2","0","1","116","45.490196078431","129","0","0","10","301","1","151","63","2223","29","39","0","0","12","1","3","0","0","8","0","0","0","0","38","10","0","0","0","0","0","31","0","0","4","8","6","101","41","0","0","0","255","48","24","70.588235294118","694.75","0","0","0","1354","492","5","2.901","3","155","0","1072430","31","0","0","0","0","0","0"
"Aurélio Buta","357752","Superliga 25/26","Danish Superliga","FC København","6.02","30.1","5","0","0","0","0","0.03844572","0","71","22","93","76.344086021505","30","41","22","0","0","0","7","0","1","0","0","1","11.111111111111","3","1","0","10","41.666666666667","3","42.857142857143","13","41.935483870968","293","0","0","0","0","1","0","0","0","0","3","0","0","0","0","4","50","8","1","0","1","49","0","2","2","181","3","6","0","0","1","1","2","0","0","0","0","0","0","0","5","2","0","0","0","0","0","3","0","0","0","6","9","18","4","0","0","0","8","7","5","71.428571428571","0","0","0","0","37","56","0","0.1163","0","7","1","2664246","5","0","0","0","0","0","0"
"Aurélio Buta","357752","Bundesliga 25/26","Bundesliga","Eintracht Frankfurt","6.175","24.7","4","0","0","0","0","0.12857088","0","53","15","68","77.941176470588","32","21","9","1","1","50","6","0","1","0","0","0","0","1","0","1","9","60","0","0","9","50","151","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","22","0","4","1","106","2","3","0","0","2","0","0","0","0","0","0","0","0","0","6","2","0","0","0","0","0","1","0","0","1","2","2","9","3","0","0","0","3","8","6","100","0","0","0","0","39","29","0","0.0227","0","1","1","2189991","4","0","0","0","0","0","0"
"Aurélio Buta","357752","Bundesliga 23/24","Bundesliga","Eintracht Frankfurt","6.7206896551724","194.9","29","1","0","0","1","1.6529452","2","722","172","894","80.76062639821","366","367","212","9","11","36.666666666667","40","15","5","0","0","11","23.913043478261","13","4","3","74","48.366013071895","29","59.183673469388","103","50.990099009901","1760","7.6923076923077","0","0","0","0","0","0","1","0","6","7","1","0","0","30","42.253521126761","32","0","0","20","304","3","61","25","1373","23","23","0","0","17","1","6","0","0","1","0","0","0","0","30","3","0","0","0","0","0","20","0","0","9","30","46","99","20","0","0","0","71","33","25","62.5","1760","0","0","0","440","500","0","0.4534","0","94","0","1088802","30","0","0","0","0","0","0"
"Aurélio Buta","357752","UEFA Champions League 25/26","UEFA Champions League","Eintracht Frankfurt","6.2","12.4","2","0","0","1","0","0.01476567","0","17","5","22","77.272727272727","4","13","5","1","0","0","0","0","0","0","0","1","50","1","1","0","1","14.285714285714","0","0","1","12.5","102","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","33.333333333333","0","0","0","2","11","0","2","0","36","1","3","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","2","7","1","0","0","0","3","2","0","0","0","0","0","0","5","17","0","0.566","0","3","0","2475710","2","12.5932","20","33.084","0","0","0"
"Aurélio Buta","357752","Ligue 1 24/25","Ligue 1","Stade de Reims","6.7555555555556","182.4","27","0","2","0","1","1.44373986","1","659","116","775","85.032258064516","348","316","153","10","9","45","37","22","5","0","0","5","15.625","8","1","6","73","51.77304964539","12","44.444444444444","85","50.595238095238","1977","0","0","0","0","1","0","0","0","0","3","5","0","0","0","22","45.833333333333","50","0","0","7","221","6","27","12","1252","27","32","0","0","21","3","1","0","0","3","0","0","0","0","25","3","0","0","0","0","0","24","0","0","10","20","32","83","15","0","0","0","48","28","24","64.864864864865","0","0","0","0","383","424","0","0.2553","1","69","0","1546889","27","0","0","0","0","0","0"
"Zanka","26404","Superliga 25/26","Danish Superliga","FC København","6.95","27.8","4","0","1","0","1","0.17338183","1","269","37","306","87.908496732026","166","103","31","1","1","100","2","4","1","0","0","0","0","5","0","2","5","55.555555555556","13","72.222222222222","18","66.666666666667","360","0","0","0","0","0","0","0","0","0","5","0","0","0","0","19","59.375","15","1","0","1","39","1","22","13","345","2","1","0","0","2","0","3","0","0","1","0","0","0","0","6","0","0","0","0","0","0","4","0","0","1","1","0","9","5","0","0","0","32","6","2","100","0","0","0","0","179","127","1","0.3627","7","20","0","2704753","4","0","0","0","0","0","0"
"Zanka","26404","MLS 2025","MLS","LA Galaxy","6.7764705882353","115.2","17","0","2","2","1","0.98158877","1","877","100","977","89.764585465711","594","283","86","6","1","100","27","11","2","1","1","0","0","4","1","2","33","63.461538461538","16","53.333333333333","49","59.756097560976","1349","0","0","0","0","0","0","0","0","0","3","1","0","0","0","50","51.546391752577","76","2","1","1","109","0","63","32","1157","5","12","0","0","7","0","1","0","0","2","0","0","0","0","25","4","0","0","0","0","0","16","0","0","6","1","0","33","14","0","0","0","97","29","20","74.074074074074","0","0","0","0","634","343","0","0.4842","18","46","17","1854090","17","0","0","0","0","0","0"
"Zanka","26404","Pro League 24/25","Pro League","RSC Anderlecht","7.0705882352941","120.2","17","0","1","2","2","0.8984908","2","1062","128","1190","89.243697478992","724","338","101","3","0","0","21","16","4","1","1","0","0","9","1","6","27","52.941176470588","20","44.444444444444","47","48.958333333333","1425","0","0","0","0","2","0","0","0","0","9","0","0","0","0","71","62.280701754386","66","1","0","3","144","2","52","22","1372","7","15","1","0","6","0","2","0","0","7","0","0","0","0","13","1","0","0","0","0","0","16","0","0","3","1","0","49","25","0","0","0","114","14","15","71.428571428571","0","0","0","0","774","416","1","1.0244","70","53","0","1513497","17","0","0","0","0","0","0"
"Zanka","26404","UEFA Europa League 24/25","UEFA Europa League","RSC Anderlecht","6.88","34.4","5","0","0","0","0","0.05980514","0","254","30","284","89.43661971831","183","71","13","1","1","100","6","4","0","0","0","0","0","1","0","1","10","71.428571428571","8","72.727272727273","18","72","450","0","0","0","0","0","0","0","0","0","1","0","0","0","0","18","54.545454545455","27","1","0","2","35","0","16","7","340","3","2","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","5","0","0","1","1","0","7","3","0","0","0","33","6","4","66.666666666667","0","0","0","0","194","90","0","0.0098","16","16","0","1604875","5","0","0","0","0","0","0"
"Zanka","26404","Premier League 23/24","Premier League","Brentford","6.8846153846154","89.5","13","1","2","0","0","0.49713935","1","393","128","521","75.431861804223","223","171","77","7","3","75","17","12","4","0","0","1","12.5","8","2","4","25","54.347826086957","27","54","52","54.166666666667","1091","12.5","0","0","0","0","0","0","1","0","6","2","0","1","0","26","38.805970149254","38","0","0","1","153","2","49","20","718","6","11","1","0","8","3","2","0","0","2","0","0","0","0","22","2","0","0","0","0","0","12","0","0","7","4","8","44","23","0","0","0","67","24","12","70.588235294118","1091","0","0","0","265","264","0","0.7425","0","67","5","1076133","14","0","0","0","0","0","0"
"Kenay Myrie","1469213","Superliga 25/26","Danish Superliga","FC København","6.45","12.9","2","0","0","1","0","0.0259627","0","28","11","39","71.794871794872","10","18","7","1","2","33.333333333333","6","1","0","0","0","0","0","1","0","1","9","47.368421052632","2","66.666666666667","11","50","125","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","40","3","0","0","1","25","0","1","1","92","1","1","0","0","5","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","1","6","5","11","1","0","0","0","5","3","4","66.666666666667","0","0","0","0","13","26","0","0.7138","0","3","0","2737106","2","0","0","0","0","0","0"
"Birger Meling","606530","Superliga 25/26","Danish Superliga","FC København","6.7","93.8","14","0","0","0","0","0.61043991","0","331","60","391","84.654731457801","165","166","93","8","3","50","32","8","1","0","1","2","9.0909090909091","3","0","2","39","58.208955223881","7","36.842105263158","46","53.488372093023","737","0","0","0","0","1","0","0","0","0","3","0","0","0","0","23","60.526315789474","18","0","1","2","105","2","28","16","609","5","16","0","0","8","2","1","0","0","0","0","0","0","0","7","2","0","0","0","0","0","7","0","0","8","6","22","40","12","0","0","0","38","9","21","65.625","0","1","0","0","178","213","0","0.0949","0","35","0","2062656","14","0","0","0","0","0","0"
"Birger Meling","606530","Superliga 24/25","Danish Superliga","FC København","7.03","70.3","10","0","2","1","0","0","0","307","39","346","88.728323699422","144","169","91","5","2","66.666666666667","17","6","0","0","0","6","30","3","1","0","25","67.567567567568","2","25","27","60","546","0","0","0","0","0","0","0","0","0","3","0","0","0","0","10","52.631578947368","14","0","0","2","63","1","14","7","490","6","3","1","0","7","0","2","0","0","3","0","0","0","0","4","0","0","0","0","0","0","7","0","0","5","3","20","18","6","0","0","0","19","4","7","41.176470588235","0","0","0","0","157","209","0","0","0","29","0","1462766","10","0","0","0","0","0","0"
"Birger Meling","606530","Superliga 23/24","Danish Superliga","FC København","6.9","124.2","18","0","1","0","0","0","0","572","88","660","86.666666666667","260","320","180","6","8","50","25","7","2","0","0","8","30.769230769231","6","1","2","50","60.240963855422","7","46.666666666667","57","58.163265306122","1055","0","0","0","0","0","0","0","0","0","3","3","0","0","0","29","50","33","0","0","9","148","5","28","13","959","17","10","0","0","6","1","3","0","0","3","0","0","0","0","13","2","0","0","0","0","0","12","0","0","6","16","26","41","8","0","0","0","58","15","17","68","0","0","0","0","293","393","1","0","0","62","0","1083447","19","0","0","0","0","0","0"
"Birger Meling","606530","UEFA Champions League 25/26","UEFA Champions League","FC København","6.425","25.7","4","0","0","0","0","0.04911055","0","55","12","67","82.089552238806","36","19","10","0","1","100","10","2","1","0","0","0","0","0","0","0","11","64.705882352941","1","50","12","63.157894736842","252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","25","11","0","0","0","17","1","6","1","121","0","4","0","0","3","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","3","0","0","0","1","2","7","1","0","0","0","8","7","4","40","0","0","0","0","39","28","0","0","0","9","0","2382752","4","31.91137","33","30.276","0","0","0"
"Birger Meling","606530","UEFA Champions League 23/24","UEFA Champions League","FC København","6.9333333333333","20.8","3","0","1","0","1","0.19733278","1","65","18","83","78.313253012048","39","29","18","3","3","75","7","0","2","0","0","3","60","1","0","1","14","60.869565217391","3","100","17","65.384615384615","192","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","60","5","0","0","2","28","2","8","5","142","4","4","0","0","3","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","3","4","5","9","0","0","0","0","10","4","5","71.428571428571","0","0","0","0","49","39","0","0.0482","0","9","0","1091767","3","0","0","0","0","0","0"
"Birger Meling","606530","Ligue 1 23/24","Ligue 1","Stade Rennais","6.9","6.9","1","0","0","0","0","0.00055145","0","5","0","5","100","3","2","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","100","0","0","1","50","16","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","100","0","0","0","0","3","2","0","0.1509","0","0","0","1077234","1","0","0","0","0","0","0"
"Dominik Kotarski","835678","Superliga 25/26","Danish Superliga","FC København","6.8304347826087","157.1","23","0","0","0","0","0.13565362","0","562","173","735","76.462585034014","475","87","41","1","3","75","0","0","1","0","0","0","0","0","0","0","4","80","6","100","10","90.909090909091","2070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138","44.805194805195","21","3","0","0","180","0","64","44","915","2","0","0","0","0","0","0","0","62","5","6","0","34","28","31","3","9","11","11","8","0","23","0","0","1","4","0","1","0","0","0","0","308","34","0","0","0","0","1","12","507","228","1","0","105","162","0","2062660","23","0","0","0","-1.7854","0","0"
"Dominik Kotarski","835678","UEFA Champions League 25/26","UEFA Champions League","FC København","6.5875","52.7","8","0","0","0","0","0.01405699","0","142","87","229","62.008733624454","106","36","11","0","0","0","1","0","0","0","0","0","0","0","0","0","1","33.333333333333","0","0","1","33.333333333333","720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","38.297872340426","11","3","0","1","88","0","23","12","304","0","0","0","0","1","0","0","0","27","0","3","0","21","6","15","6","5","5","3","0","0","8","0","0","0","0","0","2","0","0","0","0","141","21","0","0","0","0","0","8","118","111","0","0","52","54","0","2283289","8","43.50886","1","23.94","-3.3053","0","0"
"Dominik Kotarski","835678","Super League 24/25","Stoiximan Super League","PAOK","6.9571428571429","194.8","28","0","0","0","0","0","0","529","211","740","71.486486486486","449","80","33","2","2","100","0","0","2","0","0","0","0","0","0","0","6","75","7","100","13","86.666666666667","2520","0","0","0","0","1","0","0","0","0","0","0","0","0","0","128","38.095238095238","20","2","1","0","215","0","36","20","974","7","1","0","0","1","0","0","0","74","9","6","2","43","30","29","4","11","16","16","11","0","28","0","0","2","2","0","2","0","0","0","0","336","33","0","0","0","0","0","8","486","254","3","0","139","195","0","1533808","28","0","0","0","0","0","0"
"Dominik Kotarski","835678","Stoiximan Super League 23/24","Stoiximan Super League","PAOK","6.9235294117647","235.4","34","0","0","0","0","0","0","650","241","891","72.951739618406","576","74","21","0","0","0","0","1","3","0","0","0","0","0","0","0","1","100","8","88.888888888889","9","90","3060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162","40.80604534005","16","2","0","0","251","0","120","58","1127","2","0","0","0","0","0","0","0","84","12","3","1","42","41","31","2","12","5","5","12","1","34","0","0","0","0","0","1","1","0","0","0","397","33","0","0","0","0","0","11","633","258","2","0","147","221","0","1089353","34","0","0","0","0","0","0"
"Dominik Kotarski","835678","UEFA Europa League 24/25","UEFA Europa League","PAOK","7.1","71","10","0","0","0","0","0.04644854","0","257","100","357","71.988795518207","226","31","12","0","1","50","0","0","1","0","0","0","0","0","0","0","1","50","5","100","6","85.714285714286","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","35.761589403974","13","0","0","0","102","0","31","18","443","0","0","0","0","0","0","0","0","32","3","0","0","26","6","13","1","6","3","3","3","0","10","0","0","0","2","0","1","0","0","0","0","151","14","0","0","0","0","0","5","244","113","0","0","42","70","0","1605001","10","0","0","0","2.6984","0","0"
"Rúnar Alex Rúnarsson","187023","Superliga 25/26","Danish Superliga","FC København","6.45","12.9","2","0","0","0","0","0.00368539","0","52","17","69","75.36231884058","42","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","1","100","2","100","180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","43.333333333333","0","0","0","0","18","0","12","5","83","1","0","0","0","0","0","0","0","5","0","0","0","3","2","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","30","4","0","0","0","0","0","0","44","25","0","0","15","10","0","2737104","2","0","0","0","-1.0129","0","0"
"Rúnar Alex Rúnarsson","187023","Championship 23/24","Championship","Cardiff City","6.8666666666667","41.2","6","0","0","0","0","0.00378562","0","143","45","188","76.063829787234","132","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","41.891891891892","4","0","0","1","47","0","31","18","249","0","0","0","0","1","0","0","0","16","1","0","0","9","7","6","2","0","2","2","5","0","6","0","0","0","0","0","3","1","0","0","0","74","8","0","0","0","0","0","1","140","48","0","0","42","53","0","1103691","6","0","0","0","1.027","0","0"
"Fiete Arp","877837","Superliga 25/26","Danish Superliga","Odense Boldklub","7.0217391304348","161.5","23","8","10","2","3","3.83390312","11","441","168","609","72.413793103448","142","299","202","40","23","53.488372093023","34","14","4","0","0","47","35.338345864662","40","19","16","100","45.871559633028","10","38.461538461538","110","45.081967213115","1775","20","5","5","0","0","5","1","7","1","20","20","0","1","7","45","56.962025316456","17","0","0","40","405","15","77","35","1154","43","28","0","0","32","1","5","0","0","0","0","0","0","0","33","7","0","0","0","0","0","21","100","20","40","43","133","134","16","0","0","0","79","40","20","58.823529411765","221.875","0","0","0","180","429","2","6.8298","0","91","3","2068109","23","0","0","0","0","0","0"
"Fiete Arp","877837","Bundesliga 24/25","Bundesliga","Holstein Kiel","6.6347826086957","152.6","23","2","2","4","0","1.70301401","2","88","47","135","65.185185185185","31","64","36","12","14","46.666666666667","13","3","6","0","1","7","29.166666666667","22","11","8","45","43.269230769231","2","13.333333333333","47","39.495798319328","711","9.0909090909091","2","1","0","0","3","0","1","1","13","9","0","0","2","13","59.090909090909","7","1","0","16","139","2","19","12","349","18","20","2","0","9","2","3","0","0","0","0","0","0","0","15","2","0","0","0","0","0","3","50","0","12","30","24","72","13","0","0","1","22","17","10","76.923076923077","355.5","1","0","0","36","123","0","3.751","0","21","0","1526587","23","0","0","0","0","0","0"
"Fiete Arp","877837","2nd Bundesliga 23/24","2. Bundesliga","Holstein Kiel","6.8176470588235","115.9","17","5","1","4","2","0","7","114","54","168","67.857142857143","40","75","51","7","20","54.054054054054","12","5","2","0","0","1","10","20","12","6","45","42.857142857143","10","41.666666666667","55","42.635658914729","772","25","0","0","0","1","2","0","4","1","12","8","0","1","4","9","64.285714285714","6","0","0","17","138","3","12","9","368","15","14","0","0","13","1","2","0","0","1","0","0","0","0","8","1","0","0","0","0","0","8","0","0","7","37","10","74","14","0","0","0","14","9","9","75","154.4","0","0","0","58","120","1","0","0","36","0","1087984","17","0","0","0","0","0","0"
"Noah Ganaus","1182939","Superliga 25/26","Danish Superliga","Odense Boldklub","7","175","25","10","7","11","4","3.10484548","14","207","69","276","75","40","167","113","27","11","33.333333333333","19","4","1","0","0","13","31.707317073171","52","28","15","41","33.606557377049","32","50.793650793651","73","39.459459459459","1991","19.230769230769","0","0","0","0","0","0","10","0","48","4","2","1","7","0","0","13","0","0","35","226","17","8","3","621","11","20","1","0","4","26","9","1","0","2","0","0","0","0","33","7","0","0","0","0","0","25","0","0","26","33","41","112","31","0","0","0","3","40","9","47.368421052632","199.1","0","0","0","51","225","3","8.4374","0","47","4","2068075","25","0","0","0","0","0","0"
"Noah Ganaus","1182939","2. Bundesliga 24/25","2. Bundesliga","SSV Jahn Regensburg","6.63125","212.2","32","5","0","4","0","0","5","110","50","160","68.75","33","78","39","6","18","34.615384615385","19","1","3","0","0","1","5","34","12","11","54","38.571428571429","28","35","82","37.272727272727","1360","14.705882352941","0","0","0","0","0","0","5","0","29","5","1","1","3","2","66.666666666667","17","0","0","28","182","12","2","1","447","17","19","1","0","7","18","11","0","0","0","0","0","0","0","28","6","0","0","0","0","0","13","0","0","6","52","20","138","52","0","0","0","3","34","9","47.368421052632","272","0","0","0","39","141","0","0","0","32","0","1481969","32","0","0","0","0","0","0"
"Jay-Roy Grot","803037","Superliga 25/26","Danish Superliga","Odense Boldklub","6.775","162.6","24","7","5","7","3","2.03653349","10","237","114","351","67.521367521368","54","183","120","12","15","44.117647058824","9","4","1","0","0","0","0","56","20","20","42","35","39","49.367088607595","81","40.70351758794","1814","12.5","0","0","1","0","0","0","6","1","43","13","0","0","7","4","36.363636363636","28","0","0","38","252","12","12","9","684","18","18","1","0","3","7","16","0","0","0","0","0","0","0","31","6","0","0","0","0","0","20","0","0","12","34","4","118","40","0","0","0","11","37","4","44.444444444444","259.14285714286","0","0","0","71","280","1","7.6157","0","48","3","2068081","24","0","0","0","0","0","0"
"Jona Niemiec","1134388","Superliga 25/26","Danish Superliga","Odense Boldklub","6.6888888888889","120.4","18","4","1","7","1","0.16516797","5","73","37","110","66.363636363636","23","50","26","5","11","64.705882352941","10","5","2","0","0","0","0","21","9","11","31","44.285714285714","11","33.333333333333","42","40.776699029126","623","19.047619047619","0","0","0","0","0","0","4","0","15","6","0","2","2","3","75","14","0","0","13","90","4","1","0","269","10","14","1","0","6","3","1","0","0","0","0","0","0","0","12","3","0","0","0","0","0","5","0","0","5","17","5","61","22","0","0","0","4","15","6","60","155.75","0","0","0","28","82","1","3.6004","0","20","0","2267688","18","0","0","0","0","0","0"
"Jona Niemiec","1134388","2. Bundesliga 24/25","2. Bundesliga","Fortuna Düsseldorf","6.6851851851852","180.5","27","2","3","4","2","0","4","112","43","155","72.258064516129","34","85","52","14","14","38.888888888889","22","5","5","0","0","7","31.818181818182","15","5","6","48","46.601941747573","8","26.666666666667","56","42.105263157895","792","13.333333333333","0","0","2","0","0","0","1","1","13","2","0","0","2","3","50","12","0","0","13","133","1","4","1","370","12","17","1","0","4","3","4","0","0","0","0","0","0","0","16","2","0","0","0","0","0","6","0","0","14","36","22","77","22","0","0","0","6","18","12","54.545454545455","396","0","0","0","45","132","0","0","0","21","0","1484086","29","0","0","0","0","0","0"
"Jona Niemiec","1134388","2nd Bundesliga 23/24","2. Bundesliga","Fortuna Düsseldorf","6.7148148148148","181.3","27","3","6","4","3","0","6","113","58","171","66.081871345029","44","72","42","12","16","34.042553191489","20","9","2","0","0","3","13.04347826087","17","6","10","47","35.338345864662","14","33.333333333333","61","34.857142857143","862","17.647058823529","0","0","3","0","0","0","2","1","14","3","0","2","1","4","40","11","0","0","13","166","9","6","4","426","11","26","0","0","16","3","1","0","0","0","0","0","0","0","14","2","0","0","0","0","0","5","0","0","12","47","23","114","28","0","0","0","10","16","13","65","287.33333333333","0","0","0","59","135","0","0","0","45","0","1052887","28","0","0","0","0","0","0"
